Radical,Radical Number ,Numbers of Stroke ,Alternative,Meaning ,Reading
水,85,4,氵、氺,water,みず・したみず・さんずい
人,9,2,亻、𠆢,human,ひと・にんべん・ひとやね
手,64,4,扌、龵,hand,て・てへん
木,75,4,,tree,き・きへん
心,61,4,忄、⺗,heart,こころ・したごころ・りっしんべん
口,30,3,,"mouth, opening",くち・くちへん
言,149,7,訁,speech,いう・げん・ごんべん・ことば
糸,120,6,糹,"thread, string",いと・いとへん
辵,162,7,⻌、辶,walk,しんにょう・しんにゅう
土,32,3,,earth,つち・つちへん・どへん
艸,140,6,艹、䒑,"grass, vegetation",くさ・くさかんむり
肉,130,6,⺼、月,meat,にく・にくづき
阜,170,8,阝、⻖,"mound, dam",こざと・こざとへん・おか・ぎふのふ
日,72,4,,"sun, day",ひ・ひへん・にち・にちへん
女,38,3,,"woman, female",おんな・おんなへん
宀,40,3,,roof,うかんむり
貝,154,7,,shell,かい・かいへん・こがい
金,167,8,釒,"metal, gold",かね・かねへん
刀,18,2,刂、⺈,"knife, sword",かたな・りっとう
火,86,4,灬,fire,ひ・ひへん・れっか・れんが
竹,118,6,⺮,bamboo,たけ・たけかんむり
力,19,2,,"power, force",ちから・りきづくり
禾,115,5,,two-branch tree,のぎ・のぎへん
頁,181,9,,big shell,おおがい・いちのかい
衣,145,6,衤,clothes,ころも・ころもへん
彳,60,3,,step,ぎょうにんべん
田,102,5,,field,た・たへん
目,109,5,,eye,め・めへん・よこめ
大,37,3,,"big, very",だい・おおきい
巾,50,3,,"turban, scarf",はば・はばへん・きんべん
广,53,3,,dotted cliff,まだれ
犬,94,4,犭,dog,いぬ・けものへん
一,1,1,,one,いち
山,46,3,,mountain,やま・やまへん・やまかんむり
攵,66,4,攴,"strike, whip",ぼくにょう・ぼくづくり・とまた・のぶん・しぶん
石,112,5,,stone,いし・いしへん
尸,44,3,,corpse,しかばね・かばね・かばねだれ
玉,96,5,王、玊、⺩,"ball, jade; king","玉: たま・たまへん,  王: おう・おうへん・あうさま"
疒,104,5,,sickness,やまい・やまいだれ
示,113,5,礻,"altar, display",しめす・しめすへん
車,159,7,,"cart, car",くるま・くるまへん
酉,164,7,,sake (rice-based alcoholic beverage),とり・とりへん・ひよみのとり・さけのとり
雨,173,8,⻗,rain,あめ・あめかんむり・あまかんむり
囗,31,3,,enclosure,くに・くにがまえ
寸,41,3,,sun (unit of measurement),すん・すんづくり
食,184,9,飠,"eat, food",しょく・しょくへん
十,24,2,,"ten, complete",じゅう・じゅうへん
弓,57,3,,bow,ゆみ・ゆみへん
月,74,4,⺝,"moon, month; body, flesh",つき・つきへん
門,169,8,,gate,もん・もんがまえ・かどがまえ
又,29,2,,"again, right hand",また
子,39,3,,"child, seed",こ・こへん
欠,76,4,,"yawn, lack",あくび・けんづくり・かける・けつ
牛,93,4,牜、⺧,cow,うし・うしへん
隹,172,8,,old bird,ふるとり
歹,78,4,歺,"death, decay",がつ・がってん・がつへん・かばね・かばねへん・いちたへん
儿,10,2,,legs,にんにょう・ひとあし
羽,124,6,,"feather, wing",はね
足,157,7,⻊,foot,あし・あしへん
艮,138,6,,stopping,うしとら・こん・こんづくり・ねづくり
穴,116,5,,cave,あな・あなかんむり
走,156,7,赱,run,はしる・そうにょう
毛,82,4,,"fur, hair",け
耳,128,6,,ear,みみ・みみへん
見,147,7,,see,みる
二,7,2,,two,に・ふた
長,168,8,镸,"long, grow; leader",ながい
羊,123,6,⺶、⺷,sheep,ひつじ・ひつじへん・ひつじかんむり
米,119,6,,rice,こめ・こめへん
斤,69,4,,axe,おの・おのづくり・きん
小,42,3,⺌、⺍,"small, insignificant",しょう・ちいさい・なおがしら・つ
止,77,4,,stop,とまる・とめる・とめへん
豆,151,7,,bean,まめ・まめへん
邑,163,7,阝、⻏,town,むら・おおざと・おおざとづくり・ゆう
卩,26,2,㔾,seal,ふし・ふしづくり・わりふ
厶,28,2,,private,む
辛,160,7,,"spicy, bitter",しん・からい
夂,34,3,,winter,ちかんむり・ふゆがしら
夕,36,3,,"evening, sunset",ゆう・ゆうべ・た
厂,27,2,,cliff,がんだれ
戈,62,4,,"spear, halberd",ほこ・ほこづくり・ほこがまえ・かのほこ
里,166,7,,"village, mile",さと・さとへん
白,106,5,,white,しろ・しろへん
八,12,2,ハ,eight,はち・は・はちがしら
戸,63,4,戶、户,"door, house",と・とだれ・とかんむり
勹,20,2,,"wrap, embrace",つつみがまえ・くがまえ
立,117,5,,"stand, erect",たつ・たつへん
巛,47,3,川、巜,river,かわ・まがりがわ・さんぼんがわ
冫,15,2,,ice,にすい
氏,83,4,,clan,うじ
父,88,4,,father,ちち
用,101,5,甩,"use,  throw",もちいる・よう
网,122,6,罒、罓、⺲、⺳,net,あみ・あみがしら・あみめ・よこめ・よんかしら
爪,87,4,爫、⺥、⺤,"claw, nail, talon",つめ・つめがしら・つめかんむり・そうにょう・のつ
殳,79,4,,"weapon, lance",るまた・ほこづくり
音,180,9,,sound,おと・おとへん
乙,5,1,乚,"second, latter",おつ・おつにょう・つりばり
斗,68,4,,"dipper, measuring scoop",と・とます・ますづくり
至,133,6,,arrive,いたる
冖,14,2,,cover,わかんむり
匸,23,2,亡,"dead, gone",かくしがまえ
工,48,3,,work,こう・たくみ・たくみへん・え
首,185,9,,"neck, head",くび
气,84,4,,"steam, breath",きがまえ
青,174,8,靑,"green, blue",あお・あおへん
毋,80,4,母、⺟,"do not,  mother",毋: なし・なかれ 母: はは・ははのかん
弋,56,3,,"ceremony, shoot, arrow",しきがまえ・いぐるみ
疋,103,5,⺪,bolt of cloth,ひき・ひきへん
黄,201,12,黃,yellow,き・きいろ
自,132,6,,oneself,みずから
支,65,4,,branch,し・しにょう・えだにょう・じゅうまた
方,70,4,,"way, square, raft",ほう・ほうへん・かた・かたへん
谷,150,7,,valley,たに・たにへん
行,144,6,,"go, do",ぎょう・ぎょうがまえ・いく・ゆきがまえ
廾,55,3,,"two hands, twenty",にじゅう・にじゅうあし・こまぬき
赤,155,7,,"red, bare",あか・あかへん
丶,3,1,,dot,てん・ちょぼ・ちゅ・ちゅてん
干,51,3,,dry,かん・いちじゅう・ほす・ひる・たてかん
廴,54,3,,long stride,えんにょう・いんにょう
生,100,5,,life,うむ・うまれる・いきる
老,125,6,耂、⺹,old,おい・おいかんむり・おいがしら
己,49,3,已、巳,oneself,おのれ・き・つちのと
丨,2,1,,line,ぼう・たてぼう
矢,111,5,,arrow,や・やへん
彡,59,3,,"hair, bristle, stubble, beard",さん・さんづくり
比,81,4,,"compare, compete",ひ・くらべる・ならびひ
色,139,6,,"colour, prettiness",いろ
入,11,2,𠆢,enter,いる・にゅう・いりがしら・いりやね
文,67,4,,"script, literature",ぶん・ぶんにょう
彐,58,3,彑,pig's head,けい・けいがしら・いのこがしら
襾,146,6,西、覀,west,にし・かなめのかしら・おおいかんむり
非,175,8,,wrong,あらず
士,33,3,,"scholar, bachelor",さむらい
几,16,2,,"desk, table",つくえ・きにょう・かぜかんむり
癶,105,5,,footsteps,はつがしら
亠,8,2,,lid,けいさん・けいさんかんむり・なべぶた
丿,4,1,,bend,の・のかんむり・はらいぼう
卜,25,2,⼘、⺊,divination,ぼく・ぼくづくり・ぼくのと・と・うらない
虫,142,6,,insect,むし・むしへん
冂,13,2,,upside down box,けいがまえ・まきがまえ・どうがまえ・えんがまえ
亅,6,1,,hook,はねぼう
匕,21,2,,spoon,さじ・さじのひ・さじづくり・ひ
風,182,9,𠘨,wind,かぜ
聿,129,6,⺻,brush,ふで・ふでづくり
高,189,10,髙,"tall, high",たかい
甘,99,5,,sweet,あまい・かん
舌,135,6,,tongue,した・したへん
矛,110,5,,"spear, pike",ほこ・ほこへん・むのほこ
舟,137,6,,boat,ふね・ふねへん
鳥,196,11,,bird,とり・とりへん
魚,195,11,,fish,うお・うおへん・さかな
馬,187,10,,horse,うま・うまへん
身,158,7,,body,み・みへん
皮,107,5,,skin,かわ・けがわ・ひのかわ
面,176,9,靣,face,めん
黑,203,12,黒,black,くろ・くろへん
血,143,6,,blood,ち・ちへん
幺,52,3,,short thread,いとがしら・よう
香,186,9,,fragrant,か・こう・かおり・においこう
鬼,194,10,,"ghost, demon",おに・きにょう
匚,22,2,,box,はこ・はこがまえ
飛,183,9,,fly,とぶ
片,91,4,,(a) slice,かた・かたへん
豕,152,7,,pig,いのこ・いのこへん・ぶた
臣,131,6,,"minister, official",しん・おみ
韋,178,9,,tanned leather,なめしがわ
鼻,209,14,,nose,はな・はなへん
爿,90,4,丬,split wood,しょうへん
齒,211,15,歯,"tooth, molar",は・はへん
角,148,7,,horn,つの・かく・つのへん
齊,210,14,,"even, uniformly",さい・せい・ととのえる
麥,199,11,麦,wheat,むぎ・むぎへん・ぼく・ばくにょう
皿,108,5,,dish,さら
瓜,97,5,,melon,うり
革,177,9,,"leather, rawhide",かわ・かくのかわ・かわへん・つくりがわ
鹿,198,11,,deer,しか・しかへん
舛,136,6,,opposite,ます・まいあし
骨,188,10,,bone,ほね・ほねへん
鼠,208,13,,"rat, mouse",ねずみ・ねずみへん
辰,161,7,,morning,たつ・しんのたつ
隶,171,8,,"slave, capture",たい・たいづくり・れいづくり・れいのつくり
牙,92,4,,fang,きば・きばへん
凵,17,2,,"container, open mouth",かんにょう・うけばこ・かんがまえ
屮,45,3,,sprout,くさのめ・めばえ・てつ
缶,121,6,,"can, earthenware jar",ほとぎ・ほとぎへん
玄,95,5,,"dark, profound",げん
龍,212,16,竜,dragon,りゅう
龜,213,16,亀,"turtle, tortoise",かめ
无,71,4,旡,have not,む・むにょう・すでのつくり
鬥,191,10,,fight,たたかいがまえ・とうがまえ
臼,134,6,,mortar,うす
虍,141,6,,tiger stripes,とら・とらがしら・とらかんむり
鬲,193,10,,"tripod, cauldron",れき・れきのかなえ
尢,43,3,尤、尣,lame,まげあし・だいのまげあし・あう・おうにょう
瓦,98,5,,tile,かわら
耒,127,6,,plow,すき・すきへん・らいすき・らいへん
豸,153,7,,"cat, badger",むじな・むじなへん
黍,202,12,,millet,きび
鼓,207,13,,drum,つづみ
鹵,197,11,,salt,ろ・しお・しおへん
髟,190,10,,hair,かみがしら・かみかんむり
黽,205,13,,"frog, amphibian",おおがえる・べん・ぼう・ひきがえる
曰,73,4,,say,ひらび・いわく
麻,200,11,,"hemp, flax",あさ・あさかんむり
而,126,6,,"rake, beard",しかし・しかして・しこうして
韭,179,9,,leek,にら
龠,214,17,,flute,やく・やくのふえ
爻,89,4,,"mix, twine, cross",こう・めめ
釆,165,7,,"divide, distinguish, choose",のごめ・のごめへん
鼎,206,13,,sacrificial tripod,かなえ・てい
禸,114,5,,track,あしあと・ぐうのあし
鬯,192,10,,"herbs, sacrificial wine",ちょう・においざけ・かおりぐさ
黹,204,12,,"embroidery, needlework",ち・ぬいとり
夊,35,3,,winter variant,なつあし・すいにょう
